Lead_ID,Email,Age,Region,Industry,Company_Size,Job_Level,Source,Profile_Type,Total_Sessions,Avg_Session_Duration_Min,Bounce_Rate,Total_Pages_Viewed,Unique_Pages_Viewed,Products_Viewed,Product_Detail_Views,Primary_Interest_Category,Secondary_Interest_Category,Added_To_Wishlist,Compared_Products,Used_Price_Filter,Used_Feature_Filter,Search_Queries_Count,Viewed_Pricing_Page,Pricing_Page_Views,Requested_Demo,Filled_Contact_Form,Downloaded_Resources,Watched_Videos,Video_Completion_Rate,Email_Opened,Email_Open_Rate,Email_Click_Rate,Emails_Replied,Subscribed_Newsletter,Initiated_Chat,Chat_Messages_Sent,Submitted_Support_Ticket,Days_Since_First_Visit,Days_Since_Last_Activity,Last_Activity_Type,Visit_Frequency_Per_Week,Avg_Time_Between_Visits,Returned_After_Exit,Deep_Page_Scroll,Preferred_Visit_Time,Device_Type,Engagement_Score,Lead_Converted
LEAD_00001,lead1@example.com,44,Africa,Technology,51-200,Manager,Google Ads,engaged_smb,18,11.4,0.13,26,15,8,5,Starter Package,Support Package,1,0,1,1,4,1,5,1,1,3,1,0.63,1,0.66,0.35,0,0,0,0,0,45,0,Support Chat,2.8,2.5,1,1,Morning (9-12),Mobile,101.4,1
LEAD_00002,lead2@example.com,43,Latin America,Manufacturing,11-50,Manager,Email Campaign,standard_lead,9,2.0,0.31,7,6,2,1,Starter Package,Analytics Add-on,0,0,1,0,3,0,0,0,0,0,0,0.0,0,0.35,0.0,0,0,0,0,0,6,5,Abandoned Session,10.5,0.7,1,0,Morning (9-12),Desktop,12.0,1
LEAD_00003,lead3@example.com,51,Asia Pacific,Retail,1-10,Director,Google Ads,standard_lead,8,2.2,0.3,2,1,3,1,Training Module,Starter Package,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.42,0.0,0,1,0,0,0,83,24,Viewed Product,0.67,10.4,1,1,Afternoon (12-5),Mobile,0.0,0
LEAD_00004,lead4@example.com,43,North America,Technology,51-200,Director,LinkedIn,warm_lead,19,12.4,0.23,22,14,6,2,Training Module,Starter Package,1,1,1,1,8,0,0,1,1,2,0,0.0,1,0.71,0.29,2,1,1,10,0,48,0,Support Chat,2.77,2.5,1,1,Afternoon (12-5),Tablet,81.2,1
LEAD_00005,lead5@example.com,35,Latin America,Technology,1-10,Manager,Google Ads,standard_lead,2,5.8,0.32,7,6,3,1,API Access,Support Package,0,0,1,0,1,0,0,0,0,0,2,0.74,0,0.31,0.0,0,1,0,0,0,65,34,Abandoned Session,0.22,32.5,0,0,Evening (5-9),Desktop,0.0,0
LEAD_00006,lead6@example.com,43,Latin America,Manufacturing,1000+,Manager,Website,standard_lead,4,4.3,0.37,11,7,1,0,Support Package,API Access,0,0,0,0,1,1,4,0,0,1,0,0.0,0,0.31,0.0,0,0,1,11,0,76,5,Just Browsing,0.37,19.0,1,1,Evening (5-9),Mobile,27.85,0
LEAD_00007,lead7@example.com,42,Asia Pacific,Technology,11-50,VP,LinkedIn,standard_lead,6,1.5,0.71,17,10,1,0,Custom Integration,API Access,0,1,1,0,1,0,0,0,0,0,0,0.0,0,0.31,0.0,0,0,0,0,0,74,6,Email Click,0.57,12.3,1,0,Afternoon (12-5),Mobile,1.15,0
LEAD_00008,lead8@example.com,29,Africa,Education,201-1000,VP,Cold Outreach,standard_lead,4,8.8,0.83,9,7,3,1,Starter Package,Premium Plan,0,0,1,0,0,0,0,1,0,0,0,0.0,1,0.11,0.08,0,1,1,6,0,11,0,Email Click,2.55,2.8,1,1,Night (9-12),Desktop,29.2,1
LEAD_00009,lead9@example.com,37,Middle East,Consulting,11-50,Director,Partner,engaged_smb,9,19.5,0.05,24,18,7,2,API Access,Premium Plan,0,1,1,1,4,1,0,0,0,5,3,0.64,1,0.68,0.29,1,1,1,5,0,63,2,Pricing Page,1.0,7.0,1,1,Night (9-12),Desktop,72.75,1
LEAD_00010,lead10@example.com,45,Latin America,Healthcare,201-1000,VP,LinkedIn,standard_lead,7,2.7,0.72,12,10,0,0,Enterprise Solution,Custom Integration,1,0,0,0,3,1,5,0,0,0,0,0.0,0,0.2,0.0,0,1,0,0,0,40,32,Abandoned Session,1.22,5.7,1,0,Night (9-12),Desktop,8.25,0
